Event ID,Event,Date,Score,Result,Sport,Location,Opposing Team
73190,NWBL,9-Nov-2001,92 - 72,Win,W Basketball,BYU,Opp
73191,Boise State,17-Nov-2001,85 - 72,Win,W Basketball,Boise State,Boise State
73192,Texas,21-Nov-2001,74 - 90,Loss,W Basketball,Texas,Texas
73193,Washington State,24-Nov-2001,94 - 67,Win,W Basketball,BYU,Washington State
73194,UCLA,28-Nov-2001,62 - 73,Loss,W Basketball,UCLA,UCLA
73195,Southern Cal,30-Nov-2001,75 - 73,Win,W Basketball,USC,USC
73196,Weber State,2-Dec-2001,70 - 49,Win,W Basketball,Weber State,Weber State
73197,Southern Methodist,8-Dec-2001,83 - 92,Loss,W Basketball,SMU,SMU
73198,Oregon,12-Dec-2001,74 - 58,Win,W Basketball,BYU,Oregon
73199,Arkansas - Pine Bluff,15-Dec-2001,90 - 50,Win,W Basketball,Neutral,Arkansas
73200,Denver,15-Dec-2001,81 - 67,Win,W Basketball,Denver,Denver
73201,TCU,22-Dec-2001,74 - 71,Win,W Basketball,TCU,TCU
73203,Arkansas,2-Jan-2002,57 - 85,Loss,W Basketball,BYU,Arkansas
73204,Colorado State,11-Jan-2002,64 - 81,Loss,W Basketball,BYU,Colorado State
73205,Wyoming,13-Jan-2002,81 - 65,Win,W Basketball,BYU,Wyoming
73206,New Mexico,17-Jan-2002,52 - 58,Loss,W Basketball,New Mexico,New Mexico
73207,Air Force,19-Jan-2002,81 - 52,Win,W Basketball,Air Force,Air Force
73208,Utah,26-Jan-2002,77 - 65,Win,W Basketball,Utah,Utah
73209,San Diego State,1-Feb-2002,67 - 41,Win,W Basketball,BYU,SDSU
73210,UNLV,2-Feb-2002,72 - 61,Win,W Basketball,BYU,UNLV
73211,Wyoming,8-Feb-2002,75 - 58,Win,W Basketball,Wyoming,Wyoming
73212,Colorado State,9-Feb-2002,65 - 75,Loss,W Basketball,Colorado State,Colorado State
73213,Air Force,15-Feb-2002,68 - 55,Win,W Basketball,BYU,Air Force
73214,New Mexico,16-Feb-2002,64 - 71,Loss,W Basketball,BYU,New Mexico
73215,Utah,23-Feb-2002,62 - 53,Win,W Basketball,BYU,Utah
